id,name,district,state_id,is_display
1,Adilabad,Adilabad,2,1
2,Warangal,Warangal,2,1
3,"Karim Nagar","Karim Nagar",2,1
4,"Mahabub Nagar","Mahabub Nagar",2,1
5,K.V.Rangareddy,K.V.Rangareddy,2,1
6,Medak,Medak,2,1
7,Nalgonda,Nalgonda,2,1
8,Nizamabad,Nizamabad,2,1
9,Hyderabad,Hyderabad,2,1
10,Ananthapur,Ananthapur,2,1
11,Cuddapah,Cuddapah,2,1
12,Chittoor,Chittoor,2,1
13,Kurnool,Kurnool,2,1
14,Prakasam,Prakasam,2,1
15,"West Godavari","West Godavari",2,1
16,Krishna,Krishna,2,1
17,Nellore,Nellore,2,1
18,Guntur,Guntur,2,1
19,Khammam,Khammam,2,1
20,"East Godavari","East Godavari",2,1
21,Visakhapatnam,Visakhapatnam,2,1
22,Pondicherry,Pondicherry,27,1
23,Vizianagaram,Vizianagaram,2,1
24,Srikakulam,Srikakulam,2,1
25,Karimganj,Karimganj,4,1
26,Cachar,Cachar,4,1
27,Hailakandi,Hailakandi,4,1
28,"North Cachar Hills","North Cachar Hills",4,1
29,Sonitpur,Sonitpur,4,1
30,Darrang,Darrang,4,1
31,Dhemaji,Dhemaji,4,1
32,Lakhimpur,Lakhimpur,4,1
33,Dibrugarh,Dibrugarh,4,1
34,"Karbi Anglong","Karbi Anglong",4,1
35,Marigaon,Marigaon,4,1
36,Nagaon,Nagaon,4,1
37,Golaghat,Golaghat,4,1
38,Sibsagar,Sibsagar,4,1
39,Jorhat,Jorhat,4,1
40,Tinsukia,Tinsukia,4,1
41,Bongaigaon,Bongaigaon,4,1
42,Dhubri,Dhubri,4,1
43,Goalpara,Goalpara,4,1
44,Kokrajhar,Kokrajhar,4,1
45,Kamrup,Kamrup,4,1
46,Barpeta,Barpeta,4,1
47,Nalbari,Nalbari,4,1
48,Begusarai,Begusarai,5,1
49,Khagaria,Khagaria,5,1
50,Darbhanga,Darbhanga,5,1
51,Muzaffarpur,Muzaffarpur,5,1
52,Samastipur,Samastipur,5,1
53,Sitamarhi,Sitamarhi,5,1
54,Madhubani,Madhubani,5,1
55,"East Champaran","East Champaran",5,1
56,Supaul,Supaul,5,1
57,Vaishali,Vaishali,5,1
58,Purnia,Purnia,5,1
59,Araria,Araria,5,1
60,Katihar,Katihar,5,1
61,Kishanganj,Kishanganj,5,1
62,Saharsa,Saharsa,5,1
63,Madhepura,Madhepura,5,1
64,Saran,Saran,5,1
65,Siwan,Siwan,5,1
66,Bhojpur,Bhojpur,5,1
67,Sheohar,Sheohar,5,1
68,Gopalganj,Gopalganj,5,1
69,"West Champaran","West Champaran",5,1
70,Aurangabad(Bihar),Aurangabad(Bihar),5,1
71,Gaya,Gaya,5,1
72,Arwal,Arwal,5,1
73,Bhagalpur,Bhagalpur,5,1
74,Munger,Munger,5,1
75,Banka,Banka,5,1
76,Buxar,Buxar,5,1
77,Jehanabad,Jehanabad,5,1
78,Patna,Patna,5,1
79,Jamui,Jamui,5,1
80,Lakhisarai,Lakhisarai,5,1
81,Sheikhpura,Sheikhpura,5,1
82,Nalanda,Nalanda,5,1
83,Nawada,Nawada,5,1
84,Rohtas,Rohtas,5,1
85,"Kaimur (Bhabua)","Kaimur (Bhabua)",5,1
86,Kanker,Kanker,7,1
87,Bastar,Bastar,7,1
88,Dantewada,Dantewada,7,1
89,Bijapur(Chattisgarh),Bijapur(Chattisgarh),7,1
90,Narayanpur,Narayanpur,7,1
91,Janjgir-champa,Janjgir-champa,7,1
92,Korba,Korba,7,1
93,Bilaspur(Chattisgarh),Bilaspur(Chattisgarh),7,1
94,Durg,Durg,7,1
95,Rajnandgaon,Rajnandgaon,7,1
96,Kawardha,Kawardha,7,1
97,Surguja,Surguja,7,1
98,Raigarh,Raigarh,7,1
99,Jashpur,Jashpur,7,1
100,Koriya,Koriya,7,1
101,Mahasamund,Mahasamund,7,1
102,Dhamtari,Dhamtari,7,1
103,Raipur,Raipur,7,1
104,Gariaband,Gariaband,7,1
105,"East Delhi","East Delhi",10,1
106,"North East Delhi","North East Delhi",10,1
107,"North West Delhi","North West Delhi",10,1
108,"North Delhi","North Delhi",10,1
109,"Central Delhi","Central Delhi",10,1
110,"New Delhi","New Delhi",10,1
111,"South Delhi","South Delhi",10,1
112,"South West Delhi","South West Delhi",10,1
113,"West Delhi","West Delhi",10,1
114,"Gandhi Nagar","Gandhi Nagar",12,1
115,Ahmedabad,Ahmedabad,12,1
116,Banaskantha,Banaskantha,12,1
117,Mahesana,Mahesana,12,1
118,"Surendra Nagar","Surendra Nagar",12,1
119,Patan,Patan,12,1
120,Sabarkantha,Sabarkantha,12,1
121,Amreli,Amreli,12,1
122,Junagadh,Junagadh,12,1
123,Bhavnagar,Bhavnagar,12,1
124,Rajkot,Rajkot,12,1
125,Porbandar,Porbandar,12,1
126,Jamnagar,Jamnagar,12,1
127,Diu,Diu,9,1
128,Kachchh,Kachchh,12,1
129,Anand,Anand,12,1
130,Kheda,Kheda,12,1
131,Surat,Surat,12,1
132,"The Dangs","The Dangs",12,1
133,Tapi,Tapi,12,1
134,Navsari,Navsari,12,1
135,Bharuch,Bharuch,12,1
136,Narmada,Narmada,12,1
137,Vadodara,Vadodara,12,1
138,Dahod,Dahod,12,1
139,"Panch Mahals","Panch Mahals",12,1
140,Valsad,Valsad,12,1
141,"Dadra & Nagar Haveli","Dadra & Nagar Haveli",8,1
142,Daman,Daman,9,1
143,"Yamuna Nagar","Yamuna Nagar",13,1
144,Ambala,Ambala,13,1
145,Panchkula,Panchkula,13,1
146,Bhiwani,Bhiwani,13,1
147,Faridabad,Faridabad,13,1
148,Mahendragarh,Mahendragarh,13,1
149,Gurgaon,Gurgaon,13,1
150,Rewari,Rewari,13,1
151,Fatehabad,Fatehabad,13,1
152,Sirsa,Sirsa,13,1
153,Hisar,Hisar,13,1
154,Karnal,Karnal,13,1
155,Panipat,Panipat,13,1
156,Jind,Jind,13,1
157,Kaithal,Kaithal,13,1
158,Kurukshetra,Kurukshetra,13,1
159,Jhajjar,Jhajjar,13,1
160,Rohtak,Rohtak,13,1
161,Sonipat,Sonipat,13,1
162,Chamba,Chamba,14,1
163,Kangra,Kangra,14,1
164,Hamirpur(Himachal),Hamirpur(Himachal),14,1
165,"Bilaspur (Himachal)","Bilaspur (Himachal)",14,1
166,Una,Una,14,1
167,Kullu,Kullu,14,1
168,Mandi,Mandi,14,1
169,"Lahul & Spiti","Lahul & Spiti",14,1
170,Shimla,Shimla,14,1
171,Kinnaur,Kinnaur,14,1
172,Sirmaur,Sirmaur,14,1
173,Solan,Solan,14,1
174,Baramulla,Baramulla,15,1
175,Kupwara,Kupwara,15,1
176,Bandipur,Bandipur,15,1
177,Jammu,Jammu,15,1
178,Kathua,Kathua,15,1
179,Udhampur,Udhampur,15,1
180,Poonch,Poonch,15,1
181,Kargil,Kargil,15,1
182,Leh,Leh,15,1
183,Rajauri,Rajauri,15,1
184,Reasi,Reasi,15,1
185,Srinagar,Srinagar,15,1
186,Ananthnag,Ananthnag,15,1
187,Kulgam,Kulgam,15,1
188,Budgam,Budgam,15,1
189,Pulwama,Pulwama,15,1
190,Shopian,Shopian,15,1
191,Doda,Doda,15,1
192,Bokaro,Bokaro,16,1
193,Dhanbad,Dhanbad,16,1
194,Giridh,Giridh,16,1
195,Chatra,Chatra,16,1
196,Koderma,Koderma,16,1
197,Hazaribag,Hazaribag,16,1
198,Ramgarh,Ramgarh,16,1
199,Palamau,Palamau,16,1
200,Latehar,Latehar,16,1
201,Garhwa,Garhwa,16,1
202,Ranchi,Ranchi,16,1
203,Simdega,Simdega,16,1
204,Gumla,Gumla,16,1
205,Lohardaga,Lohardaga,16,1
206,"West Singhbhum","West Singhbhum",16,1
207,Khunti,Khunti,16,1
208,Godda,Godda,16,1
209,Jamtara,Jamtara,16,1
210,Dumka,Dumka,16,1
211,Deoghar,Deoghar,16,1
212,Sahibganj,Sahibganj,16,1
213,Pakur,Pakur,16,1
214,Seraikela-kharsawan,Seraikela-kharsawan,16,1
215,"East Singhbhum","East Singhbhum",16,1
216,Bangalore,Bangalore,17,1
217,"Bangalore Rural","Bangalore Rural",17,1
218,Ramanagar,Ramanagar,17,1
219,Bagalkot,Bagalkot,17,1
220,Bijapur(Karnataka),Bijapur(Karnataka),17,1
221,Belgaum,Belgaum,17,1
222,Davangere,Davangere,17,1
223,Bellary,Bellary,17,1
224,Bidar,Bidar,17,1
225,Dharwad,Dharwad,17,1
226,Gadag,Gadag,17,1
227,Koppal,Koppal,17,1
228,Gulbarga,Gulbarga,17,1
229,Yadgir,Yadgir,17,1
230,Haveri,Haveri,17,1
231,"Uttara Kannada","Uttara Kannada",17,1
232,Raichur,Raichur,17,1
233,Chickmagalur,Chickmagalur,17,1
234,Chitradurga,Chitradurga,17,1
235,Hassan,Hassan,17,1
236,Kodagu,Kodagu,17,1
237,Kolar,Kolar,17,1
238,Chikkaballapur,Chikkaballapur,17,1
239,Mandya,Mandya,17,1
240,"Dakshina Kannada","Dakshina Kannada",17,1
241,Udupi,Udupi,17,1
242,Mysore,Mysore,17,1
243,Chamrajnagar,Chamrajnagar,17,1
244,Shimoga,Shimoga,17,1
245,Tumkur,Tumkur,17,1
246,Kozhikode,Kozhikode,18,1
247,Wayanad,Wayanad,18,1
248,Malappuram,Malappuram,18,1
249,Kannur,Kannur,18,1
250,Kasargod,Kasargod,18,1
251,Palakkad,Palakkad,18,1
252,Mahe,Mahe,27,1
253,Alappuzha,Alappuzha,18,1
254,Ernakulam,Ernakulam,18,1
255,Kottayam,Kottayam,18,1
256,Idukki,Idukki,18,1
257,Pathanamthitta,Pathanamthitta,18,1
